id,domain,category,question,answer,instruction,input,output,source_document,keyword,created_date
0017,일반,knowledge,설계 원칙(CLAUDE.md 준수): 단일 사용 추상화에 대해 설명하라.,"설계 원칙(CLAUDE.md 준수): 단일 사용 추상화 금지, 요청 범위만 구현, 외부 무거운 의존성 없이 동작.",도메인 전문가 관점에서 다음 내용을 설명하라.,"설계 원칙(CLAUDE.md 준수): 단일 사용 추상화 금지, 요청 범위","설계 원칙(CLAUDE.md 준수): 단일 사용 추상화 금지, 요청 범위만 구현, 외부 무거운 의존성 없이 동작.",plan.md,"검증, py, test",2026-06-22
0018,일반,knowledge,문서체계 작성 → 검증: 4개 md가 docs/에 존재에 대해 설명하라.,문서체계 작성 → 검증: 4개 md가 docs/에 존재,도메인 전문가 관점에서 다음 내용을 설명하라.,문서체계 작성 → 검증: 4개 md가 docs/에 존재,문서체계 작성 → 검증: 4개 md가 docs/에 존재,plan.md,"검증, py, test",2026-06-22
0019,일반,knowledge,goal/plan/status/tests 작성.에 대해 설명하라.,goal/plan/status/tests 작성.,도메인 전문가 관점에서 다음 내용을 설명하라.,goal/plan/status/tests 작성.,goal/plan/status/tests 작성.,plan.md,"검증, py, test",2026-06-22
0020,일반,knowledge,도메인 모델 + 비식별화 → 검증: `test_deid에 대해 설명하라.,도메인 모델 + 비식별화 → 검증: `test_deidentify` 통과,도메인 전문가 관점에서 다음 내용을 설명하라.,도메인 모델 + 비식별화 → 검증: `test_deidentify` 통과,도메인 모델 + 비식별화 → 검증: `test_deidentify` 통과,plan.md,"검증, py, test",2026-06-22
0021,일반,knowledge,SecurityLevel(공개/내부/대외비/비밀) En에 대해 설명하라.,"SecurityLevel(공개/내부/대외비/비밀) Enum, 역할↔등급 매핑",도메인 전문가 관점에서 다음 내용을 설명하라.,"SecurityLevel(공개/내부/대외비/비밀) Enum, 역할↔등급 ","SecurityLevel(공개/내부/대외비/비밀) Enum, 역할↔등급 매핑",plan.md,"검증, py, test",2026-06-22
0022,일반,knowledge,주민번호/전화/이메일 정규식 마스킹에 대해 설명하라.,주민번호/전화/이메일 정규식 마스킹,도메인 전문가 관점에서 다음 내용을 설명하라.,주민번호/전화/이메일 정규식 마스킹,주민번호/전화/이메일 정규식 마스킹,plan.md,"검증, py, test",2026-06-22
0023,일반,knowledge,문서 처리 파이프라인(ingest) → 검증: `tes에 대해 설명하라.,"문서 처리 파이프라인(ingest) → 검증: `test_ingest` (G1, G5)",도메인 전문가 관점에서 다음 내용을 설명하라.,문서 처리 파이프라인(ingest) → 검증: `test_ingest` ,"문서 처리 파이프라인(ingest) → 검증: `test_ingest` (G1, G5)",plan.md,"검증, py, test",2026-06-22
0024,일반,knowledge,"텍스트/표(마크다운) 파싱, 문단 단위 청킹(크기·중첩에 대해 설명하라.","텍스트/표(마크다운) 파싱, 문단 단위 청킹(크기·중첩), 메타데이터(보안등급·부서·유형) 태깅",도메인 전문가 관점에서 다음 내용을 설명하라.,"텍스트/표(마크다운) 파싱, 문단 단위 청킹(크기·중첩), 메타데이터(보","텍스트/표(마크다운) 파싱, 문단 단위 청킹(크기·중첩), 메타데이터(보안등급·부서·유형) 태깅",plan.md,"검증, py, test",2026-06-22
0025,일반,knowledge,청킹 전 비식별화 적용에 대해 설명하라.,청킹 전 비식별화 적용,도메인 전문가 관점에서 다음 내용을 설명하라.,청킹 전 비식별화 적용,청킹 전 비식별화 적용,plan.md,"검증, py, test",2026-06-22
0026,일반,knowledge,임베딩 + 벡터스토어 + BM25 → 검증: `test에 대해 설명하라.,임베딩 + 벡터스토어 + BM25 → 검증: `test_retrieval_components`,도메인 전문가 관점에서 다음 내용을 설명하라.,임베딩 + 벡터스토어 + BM25 → 검증: `test_retrieval,임베딩 + 벡터스토어 + BM25 → 검증: `test_retrieval_components`,plan.md,"검증, py, test",2026-06-22
0027,일반,knowledge,"결정적 임베더(외부 의존 없이 테스트 가능), 코사인 에 대해 설명하라.","결정적 임베더(외부 의존 없이 테스트 가능), 코사인 유사도",도메인 전문가 관점에서 다음 내용을 설명하라.,"결정적 임베더(외부 의존 없이 테스트 가능), 코사인 유사도","결정적 임베더(외부 의존 없이 테스트 가능), 코사인 유사도",plan.md,"검증, py, test",2026-06-22
0028,일반,knowledge,"메타데이터 권한필터, BM25 점수에 대해 설명하라.","메타데이터 권한필터, BM25 점수",도메인 전문가 관점에서 다음 내용을 설명하라.,"메타데이터 권한필터, BM25 점수","메타데이터 권한필터, BM25 점수",plan.md,"검증, py, test",2026-06-22
0029,일반,knowledge,하이브리드 리트리버 → 검증: `test_retriev에 대해 설명하라.,"하이브리드 리트리버 → 검증: `test_retriever` (G2, G4 일부)",도메인 전문가 관점에서 다음 내용을 설명하라.,"하이브리드 리트리버 → 검증: `test_retriever` (G2, G","하이브리드 리트리버 → 검증: `test_retriever` (G2, G4 일부)",plan.md,"검증, py, test",2026-06-22
0030,일반,knowledge,Dense+BM25 정규화 가중 결합(Top-K) → 에 대해 설명하라.,Dense+BM25 정규화 가중 결합(Top-K) → 권한필터① → 리랭킹 Top-N,도메인 전문가 관점에서 다음 내용을 설명하라.,Dense+BM25 정규화 가중 결합(Top-K) → 권한필터① → 리랭,Dense+BM25 정규화 가중 결합(Top-K) → 권한필터① → 리랭킹 Top-N,plan.md,"검증, py, test",2026-06-22
0031,일반,knowledge,권한 외 문서 제외 확인에 대해 설명하라.,권한 외 문서 제외 확인,도메인 전문가 관점에서 다음 내용을 설명하라.,권한 외 문서 제외 확인,권한 외 문서 제외 확인,plan.md,"검증, py, test",2026-06-22
0032,일반,knowledge,LLM + 오케스트레이터 → 검증: `test_orch에 대해 설명하라.,"LLM + 오케스트레이터 → 검증: `test_orchestrator` (G3, G4)",도메인 전문가 관점에서 다음 내용을 설명하라.,LLM + 오케스트레이터 → 검증: `test_orchestrator` ,"LLM + 오케스트레이터 → 검증: `test_orchestrator` (G3, G4)",plan.md,"검증, py, test",2026-06-22
0033,일반,knowledge,"MockLLM: 검색 컨텍스트에서 답 추출, 출처ID 에 대해 설명하라.","MockLLM: 검색 컨텍스트에서 답 추출, 출처ID 인용",도메인 전문가 관점에서 다음 내용을 설명하라.,"MockLLM: 검색 컨텍스트에서 답 추출, 출처ID 인용","MockLLM: 검색 컨텍스트에서 답 추출, 출처ID 인용",plan.md,"검증, py, test",2026-06-22
0034,일반,knowledge,"근거 부족(점수 임계 미달) → ""관련 문서를 찾지 못에 대해 설명하라.","근거 부족(점수 임계 미달) → ""관련 문서를 찾지 못함""",도메인 전문가 관점에서 다음 내용을 설명하라.,"근거 부족(점수 임계 미달) → ""관련 문서를 찾지 못함""","근거 부족(점수 임계 미달) → ""관련 문서를 찾지 못함""",plan.md,"검증, py, test",2026-06-22
0035,일반,knowledge,응답 후처리② 권한 재검증에 대해 설명하라.,응답 후처리② 권한 재검증,도메인 전문가 관점에서 다음 내용을 설명하라.,응답 후처리② 권한 재검증,응답 후처리② 권한 재검증,plan.md,"검증, py, test",2026-06-22
0036,일반,knowledge,골든셋 + 평가 → 검증: `test_evaluatio에 대해 설명하라.,골든셋 + 평가 → 검증: `test_evaluation` (G2 Context Recall≥0.9),도메인 전문가 관점에서 다음 내용을 설명하라.,골든셋 + 평가 → 검증: `test_evaluation` (G2 Con,골든셋 + 평가 → 검증: `test_evaluation` (G2 Context Recall≥0.9),plan.md,"검증, py, test",2026-06-22
0037,일반,knowledge,"골든셋 문서/질의 구성, Context Recall·인에 대해 설명하라.","골든셋 문서/질의 구성, Context Recall·인용 정확도 계산",도메인 전문가 관점에서 다음 내용을 설명하라.,"골든셋 문서/질의 구성, Context Recall·인용 정확도 계산","골든셋 문서/질의 구성, Context Recall·인용 정확도 계산",plan.md,"검증, py, test",2026-06-22
0038,일반,knowledge,FastAPI + README → 검증: 앱 impor에 대해 설명하라.,FastAPI + README → 검증: 앱 import 및 TestClient 스모크,도메인 전문가 관점에서 다음 내용을 설명하라.,FastAPI + README → 검증: 앱 import 및 TestCl,FastAPI + README → 검증: 앱 import 및 TestClient 스모크,plan.md,"검증, py, test",2026-06-22
0039,일반,knowledge,"/ingest, /query 엔드포인트에 대해 설명하라.","/ingest, /query 엔드포인트",도메인 전문가 관점에서 다음 내용을 설명하라.,"/ingest, /query 엔드포인트","/ingest, /query 엔드포인트",plan.md,"검증, py, test",2026-06-22
0040,일반,knowledge,전체 검증 → status.md 갱신에 대해 설명하라.,전체 검증 → status.md 갱신,도메인 전문가 관점에서 다음 내용을 설명하라.,전체 검증 → status.md 갱신,전체 검증 → status.md 갱신,plan.md,"검증, py, test",2026-06-22
0041,일반,knowledge,"`pytest` 전체 통과, G1~G5 PASS 기록에 대해 설명하라.","`pytest` 전체 통과, G1~G5 PASS 기록",도메인 전문가 관점에서 다음 내용을 설명하라.,"`pytest` 전체 통과, G1~G5 PASS 기록","`pytest` 전체 통과, G1~G5 PASS 기록",plan.md,"검증, py, test",2026-06-22
0042,일반,knowledge,의사결정 필요 시점에 대해 설명하라.,의사결정 필요 시점,도메인 전문가 관점에서 다음 내용을 설명하라.,의사결정 필요 시점,의사결정 필요 시점,plan.md,"검증, py, test",2026-06-22
0043,일반,knowledge,외부 임베딩 모델(sentence-transformer에 대해 설명하라.,"외부 임베딩 모델(sentence-transformers) 다운로드 필요 여부 → **기본은 결정적 임베더(오프라인)**, 사용자가 원하면 교체.",도메인 전문가 관점에서 다음 내용을 설명하라.,외부 임베딩 모델(sentence-transformers) 다운로드 필요,"외부 임베딩 모델(sentence-transformers) 다운로드 필요 여부 → **기본은 결정적 임베더(오프라인)**, 사용자가 원하면 교체.",plan.md,"검증, py, test",2026-06-22
0044,일반,knowledge,"(이미 경량 스택으로 합의됨, 추가 질문 불필요)에 대해 설명하라.","(이미 경량 스택으로 합의됨, 추가 질문 불필요)",도메인 전문가 관점에서 다음 내용을 설명하라.,"(이미 경량 스택으로 합의됨, 추가 질문 불필요)","(이미 경량 스택으로 합의됨, 추가 질문 불필요)",plan.md,"검증, py, test",2026-06-22
0045,일반,knowledge,그 외 기획서 해석상 모호함 발생 시 사용자에게 질문.에 대해 설명하라.,그 외 기획서 해석상 모호함 발생 시 사용자에게 질문.,도메인 전문가 관점에서 다음 내용을 설명하라.,그 외 기획서 해석상 모호함 발생 시 사용자에게 질문.,그 외 기획서 해석상 모호함 발생 시 사용자에게 질문.,plan.md,"검증, py, test",2026-06-22
0046,일반,knowledge,plan.md — 실행 계획서에 관하여 기술하라. (변형 1),plan.md — 실행 계획서,도메인 전문가 입장에서 다음 내용을 기술하라. (변형 1),plan.md — 실행 계획서,plan.md — 실행 계획서,plan.md,"검증, py, test",2026-06-22
0047,일반,knowledge,> 근거: `docs/goal.md`.에 관하여 기술하라. (변형 1),> 근거: `docs/goal.md`.,도메인 전문가 입장에서 다음 내용을 기술하라. (변형 1),> 근거: `docs/goal.md`.,> 근거: `docs/goal.md`.,plan.md,"검증, py, test",2026-06-22
0048,일반,knowledge,"각 단계는 **활동 → 검증** 형식이며, 검증 미달 에 관하여 기술하라. (변형 1)","각 단계는 **활동 → 검증** 형식이며, 검증 미달 시 직전 단계로 회귀한다.",도메인 전문가 입장에서 다음 내용을 기술하라. (변형 1),"각 단계는 **활동 → 검증** 형식이며, 검증 미달 시 직전 단계로 회","각 단계는 **활동 → 검증** 형식이며, 검증 미달 시 직전 단계로 회귀한다.",plan.md,"검증, py, test",2026-06-22
0049,일반,knowledge,아키텍처 (PoC)에 관하여 기술하라. (변형 1),아키텍처 (PoC),도메인 전문가 입장에서 다음 내용을 기술하라. (변형 1),아키텍처 (PoC),아키텍처 (PoC),plan.md,"검증, py, test",2026-06-22
0050,일반,knowledge,rag_poc/에 관하여 기술하라. (변형 1),rag_poc/,도메인 전문가 입장에서 다음 내용을 기술하라. (변형 1),rag_poc/,rag_poc/,plan.md,"검증, py, test",2026-06-22
0051,일반,knowledge,models.py        # 도메인 모델: Doc에 관하여 기술하라. (변형 1),"models.py        # 도메인 모델: Document, Chunk, User, SecurityLevel, RetrievedChunk",도메인 전문가 입장에서 다음 내용을 기술하라. (변형 1),"models.py        # 도메인 모델: Document, Chu","models.py        # 도메인 모델: Document, Chunk, User, SecurityLevel, RetrievedChunk",plan.md,"검증, py, test",2026-06-22
0052,일반,knowledge,deidentify.py    # 비식별화(주민번호/전에 관하여 기술하라. (변형 1),deidentify.py    # 비식별화(주민번호/전화/이메일 마스킹),도메인 전문가 입장에서 다음 내용을 기술하라. (변형 1),deidentify.py    # 비식별화(주민번호/전화/이메일 마스킹),deidentify.py    # 비식별화(주민번호/전화/이메일 마스킹),plan.md,"검증, py, test",2026-06-22
0053,일반,knowledge,ingest.py        # 문서 처리 파이프라인에 관하여 기술하라. (변형 1),ingest.py        # 문서 처리 파이프라인: 파싱→비식별화→청킹→메타태깅,도메인 전문가 입장에서 다음 내용을 기술하라. (변형 1),ingest.py        # 문서 처리 파이프라인: 파싱→비식별화→,ingest.py        # 문서 처리 파이프라인: 파싱→비식별화→청킹→메타태깅,plan.md,"검증, py, test",2026-06-22
0054,일반,knowledge,embedding.py     # 교체형 임베딩(기본:에 관하여 기술하라. (변형 1),"embedding.py     # 교체형 임베딩(기본: 해시기반 결정적 임베더, 옵션: sentence-transformers)",도메인 전문가 입장에서 다음 내용을 기술하라. (변형 1),embedding.py     # 교체형 임베딩(기본: 해시기반 결정적 ,"embedding.py     # 교체형 임베딩(기본: 해시기반 결정적 임베더, 옵션: sentence-transformers)",plan.md,"검증, py, test",2026-06-22
0055,일반,knowledge,vectorstore.py   # 임베디드 벡터 저장소에 관하여 기술하라. (변형 1),vectorstore.py   # 임베디드 벡터 저장소(코사인) + 메타데이터 권한필터,도메인 전문가 입장에서 다음 내용을 기술하라. (변형 1),vectorstore.py   # 임베디드 벡터 저장소(코사인) + 메타,vectorstore.py   # 임베디드 벡터 저장소(코사인) + 메타데이터 권한필터,plan.md,"검증, py, test",2026-06-22
0056,일반,knowledge,bm25.py          # BM25 희소 검색에 관하여 기술하라. (변형 1),bm25.py          # BM25 희소 검색,도메인 전문가 입장에서 다음 내용을 기술하라. (변형 1),bm25.py          # BM25 희소 검색,bm25.py          # BM25 희소 검색,plan.md,"검증, py, test",2026-06-22
0057,일반,knowledge,retriever.py     # 하이브리드 검색 + 에 관하여 기술하라. (변형 1),retriever.py     # 하이브리드 검색 + 권한필터① + 리랭킹(Top-N),도메인 전문가 입장에서 다음 내용을 기술하라. (변형 1),retriever.py     # 하이브리드 검색 + 권한필터① + 리랭,retriever.py     # 하이브리드 검색 + 권한필터① + 리랭킹(Top-N),plan.md,"검증, py, test",2026-06-22
0058,일반,knowledge,llm.py           # 교체형 LLM 인터페에 관하여 기술하라. (변형 1),llm.py           # 교체형 LLM 인터페이스 + MockLLM(인용 기반 추출 답변),도메인 전문가 입장에서 다음 내용을 기술하라. (변형 1),llm.py           # 교체형 LLM 인터페이스 + MockL,llm.py           # 교체형 LLM 인터페이스 + MockLLM(인용 기반 추출 답변),plan.md,"검증, py, test",2026-06-22
0059,일반,knowledge,orchestrator.py  # RAG 파이프라인 +에 관하여 기술하라. (변형 1),orchestrator.py  # RAG 파이프라인 + 권한 후처리② + 인용 + 근거부족 억제,도메인 전문가 입장에서 다음 내용을 기술하라. (변형 1),orchestrator.py  # RAG 파이프라인 + 권한 후처리② +,orchestrator.py  # RAG 파이프라인 + 권한 후처리② + 인용 + 근거부족 억제,plan.md,"검증, py, test",2026-06-22
0060,일반,knowledge,api.py           # FastAPI 엔드포에 관하여 기술하라. (변형 1),"api.py           # FastAPI 엔드포인트(/ingest, /query)",도메인 전문가 입장에서 다음 내용을 기술하라. (변형 1),api.py           # FastAPI 엔드포인트(/ingest,"api.py           # FastAPI 엔드포인트(/ingest, /query)",plan.md,"검증, py, test",2026-06-22
0061,일반,knowledge,golden/          # 골든셋(문서 + 질의에 관하여 기술하라. (변형 1),golden/          # 골든셋(문서 + 질의/정답),도메인 전문가 입장에서 다음 내용을 기술하라. (변형 1),golden/          # 골든셋(문서 + 질의/정답),golden/          # 골든셋(문서 + 질의/정답),plan.md,"검증, py, test",2026-06-22
0062,일반,knowledge,설계 원칙(CLAUDE.md 준수): 단일 사용 추상화에 관하여 기술하라. (변형 1),"설계 원칙(CLAUDE.md 준수): 단일 사용 추상화 금지, 요청 범위만 구현, 외부 무거운 의존성 없이 동작.",도메인 전문가 입장에서 다음 내용을 기술하라. (변형 1),"설계 원칙(CLAUDE.md 준수): 단일 사용 추상화 금지, 요청 범위","설계 원칙(CLAUDE.md 준수): 단일 사용 추상화 금지, 요청 범위만 구현, 외부 무거운 의존성 없이 동작.",plan.md,"검증, py, test",2026-06-22
0063,일반,knowledge,문서체계 작성 → 검증: 4개 md가 docs/에 존재에 관하여 기술하라. (변형 1),문서체계 작성 → 검증: 4개 md가 docs/에 존재,도메인 전문가 입장에서 다음 내용을 기술하라. (변형 1),문서체계 작성 → 검증: 4개 md가 docs/에 존재,문서체계 작성 → 검증: 4개 md가 docs/에 존재,plan.md,"검증, py, test",2026-06-22
0064,일반,knowledge,goal/plan/status/tests 작성.에 관하여 기술하라. (변형 1),goal/plan/status/tests 작성.,도메인 전문가 입장에서 다음 내용을 기술하라. (변형 1),goal/plan/status/tests 작성.,goal/plan/status/tests 작성.,plan.md,"검증, py, test",2026-06-22
0065,일반,knowledge,도메인 모델 + 비식별화 → 검증: `test_deid에 관하여 기술하라. (변형 1),도메인 모델 + 비식별화 → 검증: `test_deidentify` 통과,도메인 전문가 입장에서 다음 내용을 기술하라. (변형 1),도메인 모델 + 비식별화 → 검증: `test_deidentify` 통과,도메인 모델 + 비식별화 → 검증: `test_deidentify` 통과,plan.md,"검증, py, test",2026-06-22
0066,일반,knowledge,SecurityLevel(공개/내부/대외비/비밀) En에 관하여 기술하라. (변형 1),"SecurityLevel(공개/내부/대외비/비밀) Enum, 역할↔등급 매핑",도메인 전문가 입장에서 다음 내용을 기술하라. (변형 1),"SecurityLevel(공개/내부/대외비/비밀) Enum, 역할↔등급 ","SecurityLevel(공개/내부/대외비/비밀) Enum, 역할↔등급 매핑",plan.md,"검증, py, test",2026-06-22
0067,일반,knowledge,주민번호/전화/이메일 정규식 마스킹에 관하여 기술하라. (변형 1),주민번호/전화/이메일 정규식 마스킹,도메인 전문가 입장에서 다음 내용을 기술하라. (변형 1),주민번호/전화/이메일 정규식 마스킹,주민번호/전화/이메일 정규식 마스킹,plan.md,"검증, py, test",2026-06-22
0068,일반,knowledge,문서 처리 파이프라인(ingest) → 검증: `tes에 관하여 기술하라. (변형 1),"문서 처리 파이프라인(ingest) → 검증: `test_ingest` (G1, G5)",도메인 전문가 입장에서 다음 내용을 기술하라. (변형 1),문서 처리 파이프라인(ingest) → 검증: `test_ingest` ,"문서 처리 파이프라인(ingest) → 검증: `test_ingest` (G1, G5)",plan.md,"검증, py, test",2026-06-22
0069,일반,knowledge,"텍스트/표(마크다운) 파싱, 문단 단위 청킹(크기·중첩에 관하여 기술하라. (변형 1)","텍스트/표(마크다운) 파싱, 문단 단위 청킹(크기·중첩), 메타데이터(보안등급·부서·유형) 태깅",도메인 전문가 입장에서 다음 내용을 기술하라. (변형 1),"텍스트/표(마크다운) 파싱, 문단 단위 청킹(크기·중첩), 메타데이터(보","텍스트/표(마크다운) 파싱, 문단 단위 청킹(크기·중첩), 메타데이터(보안등급·부서·유형) 태깅",plan.md,"검증, py, test",2026-06-22
0070,일반,knowledge,청킹 전 비식별화 적용에 관하여 기술하라. (변형 1),청킹 전 비식별화 적용,도메인 전문가 입장에서 다음 내용을 기술하라. (변형 1),청킹 전 비식별화 적용,청킹 전 비식별화 적용,plan.md,"검증, py, test",2026-06-22
0071,일반,knowledge,임베딩 + 벡터스토어 + BM25 → 검증: `test에 관하여 기술하라. (변형 1),임베딩 + 벡터스토어 + BM25 → 검증: `test_retrieval_components`,도메인 전문가 입장에서 다음 내용을 기술하라. (변형 1),임베딩 + 벡터스토어 + BM25 → 검증: `test_retrieval,임베딩 + 벡터스토어 + BM25 → 검증: `test_retrieval_components`,plan.md,"검증, py, test",2026-06-22
0072,일반,knowledge,"결정적 임베더(외부 의존 없이 테스트 가능), 코사인 에 관하여 기술하라. (변형 1)","결정적 임베더(외부 의존 없이 테스트 가능), 코사인 유사도",도메인 전문가 입장에서 다음 내용을 기술하라. (변형 1),"결정적 임베더(외부 의존 없이 테스트 가능), 코사인 유사도","결정적 임베더(외부 의존 없이 테스트 가능), 코사인 유사도",plan.md,"검증, py, test",2026-06-22
0073,일반,knowledge,"메타데이터 권한필터, BM25 점수에 관하여 기술하라. (변형 1)","메타데이터 권한필터, BM25 점수",도메인 전문가 입장에서 다음 내용을 기술하라. (변형 1),"메타데이터 권한필터, BM25 점수","메타데이터 권한필터, BM25 점수",plan.md,"검증, py, test",2026-06-22
0074,일반,knowledge,하이브리드 리트리버 → 검증: `test_retriev에 관하여 기술하라. (변형 1),"하이브리드 리트리버 → 검증: `test_retriever` (G2, G4 일부)",도메인 전문가 입장에서 다음 내용을 기술하라. (변형 1),"하이브리드 리트리버 → 검증: `test_retriever` (G2, G","하이브리드 리트리버 → 검증: `test_retriever` (G2, G4 일부)",plan.md,"검증, py, test",2026-06-22
0075,일반,knowledge,Dense+BM25 정규화 가중 결합(Top-K) → 에 관하여 기술하라. (변형 1),Dense+BM25 정규화 가중 결합(Top-K) → 권한필터① → 리랭킹 Top-N,도메인 전문가 입장에서 다음 내용을 기술하라. (변형 1),Dense+BM25 정규화 가중 결합(Top-K) → 권한필터① → 리랭,Dense+BM25 정규화 가중 결합(Top-K) → 권한필터① → 리랭킹 Top-N,plan.md,"검증, py, test",2026-06-22
0076,일반,knowledge,권한 외 문서 제외 확인에 관하여 기술하라. (변형 1),권한 외 문서 제외 확인,도메인 전문가 입장에서 다음 내용을 기술하라. (변형 1),권한 외 문서 제외 확인,권한 외 문서 제외 확인,plan.md,"검증, py, test",2026-06-22
0077,일반,knowledge,LLM + 오케스트레이터 → 검증: `test_orch에 관하여 기술하라. (변형 1),"LLM + 오케스트레이터 → 검증: `test_orchestrator` (G3, G4)",도메인 전문가 입장에서 다음 내용을 기술하라. (변형 1),LLM + 오케스트레이터 → 검증: `test_orchestrator` ,"LLM + 오케스트레이터 → 검증: `test_orchestrator` (G3, G4)",plan.md,"검증, py, test",2026-06-22
